Name,Team,PTS,PTS/G,NameASCII,FangraphsId,MLBAMID,VORP,isRP
Rhys Hoskins,MIL,398.0,3.09,Rhys Hoskins,16472,656555,-21.899999999999977,False
Yainer Diaz,HOU,397.0,2.95,Yainer Diaz,23003,673237,-22.899999999999977,False
Brendan Donovan,STL,390.0,2.9,Brendan Donovan,24679,680977,-29.899999999999977,False
Connor Norby,MIA,390.0,2.89,Connor Norby,29592,681393,-29.899999999999977,False
Zach Neto,LAA,389.0,3.19,Zach Neto,31347,687263,-30.899999999999977,False
Tyler Fitzgerald,SFG,388.0,2.91,Tyler Fitzgerald,26208,666149,-31.899999999999977,False
Carlos Correa,MIN,388.0,3.23,Carlos Correa,14162,621043,-31.899999999999977,False
Matt Wallner,MIN,387.0,3.14,Matt Wallner,26466,670242,-32.89999999999998,False
Joey Ortiz,MIL,385.0,2.75,Joey Ortiz,25493,687401,-34.89999999999998,False
Christopher Morel,TBR,384.0,3.08,Christopher Morel,21897,666624,-35.89999999999998,False
Maikel Garcia,KCR,384.0,2.94,Maikel Garcia,22715,672580,-35.89999999999998,False
Kerry Carpenter,DET,383.0,3.12,Kerry Carpenter,25961,681481,-36.89999999999998,False
Josh Bell,WSN,382.0,2.88,Josh Bell,13145,605137,-37.89999999999998,False
Victor Robles,SEA,380.0,2.93,Victor Robles,18363,645302,-39.89999999999998,False
Jake McCarthy,ARI,380.0,2.97,Jake McCarthy,21622,664983,-39.89999999999998,False
Will Smith,LAD,379.0,3.13,Will Smith,19197,669257,-40.89999999999998,False
Brandon Lowe,TBR,379.0,3.3,Brandon Lowe,18882,664040,-40.89999999999998,False
Parker Meadows,DET,379.0,3.04,Parker Meadows,23800,678009,-40.89999999999998,False
Lars Nootbaar,STL,378.0,3.13,Lars Nootbaar,21454,663457,-41.89999999999998,False
Luis Rengifo,LAA,378.0,3.04,Luis Rengifo,19858,650859,-41.89999999999998,False
Shea Langeliers,ATH,378.0,2.96,Shea Langeliers,25816,669127,-41.89999999999998,False
Tyler O'Neill,BAL,376.0,3.27,Tyler O'Neill,15711,641933,-43.89999999999998,False
Nico Hoerner,CHC,376.0,3.01,Nico Hoerner,21479,663538,-43.89999999999998,False
Willi Castro,MIN,375.0,2.87,Willi Castro,17338,650489,-44.89999999999998,False
Brandon Marsh,PHI,373.0,2.95,Brandon Marsh,20202,669016,-46.89999999999998,False
Nolan Schanuel,LAA,373.0,2.81,Nolan Schanuel,33189,694384,-46.89999999999998,False
Spencer Steer,CIN,372.0,3.24,Spencer Steer,26323,668715,-47.89999999999998,False
Carlos Santana,CLE,371.0,2.82,Carlos Santana,2396,467793,-48.89999999999998,False
TJ Friedl,CIN,371.0,3.09,TJ Friedl,19522,670770,-48.89999999999998,False
Colt Keith,DET,370.0,2.84,Colt Keith,27899,690993,-49.89999999999998,False
Ryan Mountcastle,BAL,369.0,2.97,Ryan Mountcastle,18373,663624,-50.89999999999998,False
Tyler Soderstrom,ATH,369.0,2.75,Tyler Soderstrom,27467,691016,-50.89999999999998,False
Jung Hoo Lee,SFG,365.0,3.02,Jung Hoo Lee,33824,808982,-54.89999999999998,False
Logan O'Hoppe,LAA,364.0,2.89,Logan O'Hoppe,24729,681351,-55.89999999999998,False
Jo Adell,LAA,362.0,2.98,Jo Adell,20220,666176,-57.89999999999998,False
Nolan Jones,COL,361.0,3.04,Nolan Jones,20529,666134,-58.89999999999998,False
J.P. Crawford,SEA,359.0,2.72,J.P. Crawford,15491,641487,-60.89999999999998,False
Josh Jung,TEX,358.0,2.94,Josh Jung,26299,673962,-61.89999999999998,False
Byron Buxton,MIN,353.0,3.39,Byron Buxton,14161,621439,-66.89999999999998,False
Matt Shaw,CHC,353.0,3.05,Matt Shaw,sa3022615,807713,-66.89999999999998,False
Jeimer Candelario,CIN,353.0,2.95,Jeimer Candelario,13621,600869,-66.89999999999998,False
Trevor Larnach,MIN,352.0,3.03,Trevor Larnach,21501,663616,-67.89999999999998,False
Jordan Walker,STL,351.0,2.78,Jordan Walker,27475,691023,-68.89999999999998,False
Garrett Mitchell,MIL,351.0,3.02,Garrett Mitchell,27555,669003,-68.89999999999998,False
Alec Burleson,STL,346.0,2.94,Alec Burleson,27615,676475,-73.89999999999998,False
Ke'Bryan Hayes,PIT,346.0,2.76,Ke'Bryan Hayes,18577,663647,-73.89999999999998,False
Joc Pederson,TEX,346.0,3.16,Joc Pederson,11899,592626,-73.89999999999998,False
Geraldo Perdomo,ARI,344.0,2.66,Geraldo Perdomo,22799,672695,-75.89999999999998,False
Michael Conforto,LAD,344.0,2.95,Michael Conforto,16376,624424,-75.89999999999998,False
Trevor Story,BOS,343.0,3.04,Trevor Story,12564,596115,-76.89999999999998,False
Evan Carter,TEX,339.0,2.98,Evan Carter,27790,694497,-80.89999999999998,False
Austin Wells,NYY,339.0,2.77,Austin Wells,27562,669224,-80.89999999999998,False
Brayan Rocchio,CLE,338.0,2.4,Brayan Rocchio,23690,677587,-81.89999999999998,False
MJ Melendez,KCR,337.0,2.82,MJ Melendez,22197,669004,-82.89999999999998,False
Wilyer Abreu,BOS,336.0,3.05,Wilyer Abreu,23772,677800,-83.89999999999998,False
Jackson Holliday,BAL,335.0,2.79,Jackson Holliday,31781,702616,-84.89999999999998,False
Luke Raley,SEA,335.0,2.83,Luke Raley,19354,670042,-84.89999999999998,False
J.T. Realmuto,PHI,332.0,2.91,J.T. Realmuto,11739,592663,-87.89999999999998,False
Tyler Stephenson,CIN,332.0,2.79,Tyler Stephenson,17988,663886,-87.89999999999998,False
Thairo Estrada,COL,329.0,2.85,Thairo Estrada,16426,642731,-90.89999999999998,False
Mike Yastrzemski,SFG,329.0,2.74,Mike Yastrzemski,14854,573262,-90.89999999999998,False
Jacob Young,WSN,327.0,2.57,Jacob Young,29931,696285,-92.89999999999998,False
Ha-Seong Kim,TBR,326.0,3.03,Ha-Seong Kim,27506,673490,-93.89999999999998,False
Matt Vierling,DET,323.0,2.85,Matt Vierling,21558,663837,-96.89999999999998,False
Michael Massey,KCR,321.0,2.75,Michael Massey,27684,686681,-98.89999999999998,False
Nolan Gorman,STL,319.0,2.96,Nolan Gorman,22263,669357,-100.89999999999998,False
Kyle Manzardo,CLE,319.0,2.87,Kyle Manzardo,29794,700932,-100.89999999999998,False
Otto Lopez,MIA,318.0,2.78,Otto Lopez,19608,672640,-101.89999999999998,False
Gabriel Moreno,ARI,318.0,2.68,Gabriel Moreno,22664,672515,-101.89999999999998,False
Nick Gonzales,PIT,316.0,2.82,Nick Gonzales,27490,693304,-103.89999999999998,False
Gavin Lux,CIN,316.0,2.79,Gavin Lux,19955,666158,-103.89999999999998,False
Andrew McCutchen,PIT,315.0,2.94,Andrew McCutchen,9847,457705,-104.89999999999998,False
Andrew Benintendi,CHW,314.0,2.8,Andrew Benintendi,17901,643217,-105.89999999999998,False
Jonny DeLuca,TBR,313.0,2.65,Jonny DeLuca,26365,676356,-106.89999999999998,False
Jacob Wilson,ATH,312.0,2.5,Jacob Wilson,33266,805779,-107.89999999999998,False
Jorge Polanco,SEA,310.0,2.75,Jorge Polanco,13152,593871,-109.89999999999998,False
Isiah Kiner-Falefa,PIT,310.0,2.49,Isiah Kiner-Falefa,16512,643396,-109.89999999999998,False
Ceddanne Rafaela,BOS,309.0,2.83,Ceddanne Rafaela,24262,678882,-110.89999999999998,False
Orlando Arcia,ATL,309.0,2.48,Orlando Arcia,13185,606115,-110.89999999999998,False
Jeff McNeil,NYM,308.0,2.57,Jeff McNeil,15362,643446,-111.89999999999998,False
LaMonte Wade Jr.,SFG,307.0,2.75,LaMonte Wade Jr.,18126,664774,-112.89999999999998,False
Keibert Ruiz,WSN,307.0,2.48,Keibert Ruiz,19610,660688,-112.89999999999998,False
Kyle Isbel,KCR,307.0,2.53,Kyle Isbel,21614,664728,-112.89999999999998,False
Jake Fraley,CIN,305.0,2.9,Jake Fraley,19260,641584,-114.89999999999998,False
Max Kepler,PHI,304.0,2.75,Max Kepler,12144,596146,-115.89999999999998,False
Sal Frelick,MIL,303.0,2.68,Sal Frelick,29622,686217,-116.89999999999998,False
Austin Hays,CIN,300.0,2.68,Austin Hays,19363,669720,-119.89999999999998,False
Jonathan Aranda,TBR,298.0,2.82,Jonathan Aranda,21837,666018,-121.89999999999998,False
Yoán Moncada,LAA,297.0,2.67,Yoan Moncada,17232,660162,-122.89999999999998,False
Tommy Pham,PIT,296.0,2.83,Tommy Pham,2967,502054,-123.89999999999998,False
Ryan Jeffers,MIN,294.0,2.78,Ryan Jeffers,24618,680777,-125.89999999999998,False
Chas McCormick,HOU,293.0,2.7,Chas McCormick,19599,676801,-126.89999999999998,False
Christian Encarnacion-Strand,CIN,293.0,3.11,Christian Encarnacion-Strand,30011,687952,-126.89999999999998,False
Jose Siri,NYM,291.0,2.83,Jose Siri,17452,642350,-128.89999999999998,False
Ryan O'Hearn,BAL,291.0,2.83,Ryan O'Hearn,16442,656811,-128.89999999999998,False
Jake Meyers,HOU,289.0,2.55,Jake Meyers,20308,676694,-130.89999999999998,False
Spencer Horwitz,PIT,288.0,2.89,Spencer Horwitz,26477,687462,-131.89999999999998,False
Jesse Winker,NYM,287.0,2.78,Jesse Winker,13590,608385,-132.89999999999998,False
Dylan Moore,SEA,284.0,2.81,Dylan Moore,18042,664238,-135.89999999999998,False
Hyeseong Kim,LAD,283.0,2.79,Hyeseong Kim,sa3012639,808975,-136.89999999999998,False
Miguel Vargas,CHW,281.0,2.64,Miguel Vargas,20178,678246,-138.89999999999998,False
Iván Herrera,STL,275.0,2.7,Ivan Herrera,20599,671056,-144.89999999999998,False
Francisco Alvarez,NYM,274.0,2.72,Francisco Alvarez,26121,682626,-145.89999999999998,False
Bo Naylor,CLE,274.0,2.52,Bo Naylor,21865,666310,-145.89999999999998,False
Masataka Yoshida,BOS,273.0,2.91,Masataka Yoshida,31837,807799,-146.89999999999998,False
Jordan Beck,COL,271.0,2.64,Jordan Beck,31431,687597,-148.89999999999998,False
Roman Anthony,BOS,270.0,3.0,Roman Anthony,sa3020211,701350,-149.89999999999998,False
Connor Wong,BOS,267.0,2.54,Connor Wong,19896,657136,-152.89999999999998,False
Heston Kjerstad,BAL,267.0,2.71,Heston Kjerstad,31166,677008,-152.89999999999998,False
Brooks Lee,MIN,266.0,2.58,Brooks Lee,31595,686797,-153.89999999999998,False
Patrick Bailey,SFG,266.0,2.35,Patrick Bailey,27478,672275,-153.89999999999998,False
Alejandro Kirk,TOR,266.0,2.47,Alejandro Kirk,22581,672386,-153.89999999999998,False
Mike Tauchman,CHW,265.0,2.72,Mike Tauchman,15274,643565,-154.89999999999998,False
Hunter Renfroe,KCR,265.0,2.7,Hunter Renfroe,15464,592669,-154.89999999999998,False
Kris Bryant,COL,263.0,2.7,Kris Bryant,15429,592178,-156.89999999999998,False
Ty France,MIN,261.0,2.61,Ty France,17982,664034,-158.89999999999998,False
Danny Jansen,TBR,260.0,2.65,Danny Jansen,16535,643376,-159.89999999999998,False
Alex Verdugo,,259.0,2.92,Alex Verdugo,17027,657077,-160.89999999999998,False
Jonah Bride,MIA,259.0,2.58,Jonah Bride,24703,681146,-160.89999999999998,False
Josh Smith,TEX,257.0,2.62,Josh Smith,26396,669701,-162.89999999999998,False
Jhonkensy Noel,CLE,253.0,2.66,Jhonkensy Noel,24257,678877,-166.89999999999998,False
J.D. Martinez,,252.0,3.14,J.D. Martinez,6184,502110,-167.89999999999998,False
Leody Taveras,TEX,251.0,2.77,Leody Taveras,18900,665750,-168.89999999999998,False
Jonah Heim,TEX,246.0,2.42,Jonah Heim,16930,641680,-173.89999999999998,False
Josh Rojas,CHW,246.0,2.56,Josh Rojas,19734,668942,-173.89999999999998,False
Andy Pages,LAD,244.0,2.97,Andy Pages,24816,681624,-175.89999999999998,False
Colson Montgomery,CHW,244.0,2.42,Colson Montgomery,sa3017170,695657,-175.89999999999998,False
Joey Bart,PIT,242.0,2.51,Joey Bart,21524,663698,-177.89999999999998,False
Oswaldo Cabrera,NYY,241.0,2.43,Oswaldo Cabrera,21707,665828,-178.89999999999998,False
Endy Rodríguez,PIT,241.0,2.67,Endy Rodriguez,25332,682848,-178.89999999999998,False
Pavin Smith,ARI,240.0,2.68,Pavin Smith,19892,656976,-179.89999999999998,False
Seth Brown,ATH,240.0,2.7,Seth Brown,18171,664913,-179.89999999999998,False
Kyle Stowers,MIA,237.0,2.39,Kyle Stowers,26151,669065,-182.89999999999998,False
Wenceel Pérez,DET,237.0,2.81,Wenceel Perez,22857,672761,-182.89999999999998,False
Sean Murphy,ATL,236.0,2.76,Sean Murphy,19352,669221,-183.89999999999998,False
Jose Miranda,MIN,234.0,2.64,Jose Miranda,20538,669304,-185.89999999999998,False
Lenyn Sosa,CHW,234.0,2.46,Lenyn Sosa,22896,672820,-185.89999999999998,False
José Caballero,TBR,234.0,2.86,Jose Caballero,23401,676609,-185.89999999999998,False
Gio Urshela,ATH,231.0,2.37,Gio Urshela,10681,570482,-188.89999999999998,False
Giancarlo Stanton,NYY,230.0,3.23,Giancarlo Stanton,4949,519317,-189.89999999999998,False
Harrison Bader,MIN,230.0,2.65,Harrison Bader,18030,664056,-189.89999999999998,False
Jace Jung,DET,229.0,2.42,Jace Jung,31437,690291,-190.89999999999998,False
Deyvison De Los Santos,MIA,228.0,2.76,Deyvison De Los Santos,sa3015168,691277,-191.89999999999998,False
Mauricio Dubón,HOU,227.0,2.32,Mauricio Dubon,16530,643289,-192.89999999999998,False
Wilmer Flores,SFG,227.0,2.62,Wilmer Flores,5827,527038,-192.89999999999998,False
Mickey Moniak,LAA,224.0,2.72,Mickey Moniak,19956,666160,-195.89999999999998,False
José Tena,WSN,224.0,2.65,Jose Tena,23691,677588,-195.89999999999998,False
Will Wagner,TOR,224.0,2.63,Will Wagner,29634,695238,-195.89999999999998,False
Jason Heyward,SDP,223.0,2.52,Jason Heyward,4940,518792,-196.89999999999998,False
Hunter Goodman,COL,220.0,2.75,Hunter Goodman,29715,696100,-199.89999999999998,False
Jake Rogers,DET,220.0,2.37,Jake Rogers,19452,668670,-199.89999999999998,False
Richie Palacios,TBR,219.0,2.71,Richie Palacios,24589,680700,-200.89999999999998,False
Ryan Bliss,SEA,219.0,2.46,Ryan Bliss,29547,669208,-200.89999999999998,False
Alek Thomas,ARI,219.0,2.58,Alek Thomas,23792,677950,-200.89999999999998,False
Ernie Clement,TOR,218.0,2.46,Ernie Clement,20352,676391,-201.89999999999998,False
Justin Turner,CHC,218.0,2.72,Justin Turner,5235,457759,-201.89999999999998,False
Starling Marte,NYM,215.0,2.99,Starling Marte,9241,516782,-204.89999999999998,False
Edouard Julien,MIN,215.0,2.66,Edouard Julien,27534,666397,-204.89999999999998,False
Paul DeJong,WSN,214.0,2.41,Paul DeJong,18015,657557,-205.89999999999998,False
Miguel Amaya,CHC,213.0,2.29,Miguel Amaya,21693,665804,-206.89999999999998,False
Jerar Encarnacion,SFG,213.0,2.76,Jerar Encarnacion,21871,666464,-206.89999999999998,False
Johan Rojas,PHI,212.0,2.57,Johan Rojas,24336,679032,-207.89999999999998,False
Javier Báez,DET,211.0,2.52,Javier Baez,12979,595879,-208.89999999999998,False
Donovan Solano,SEA,211.0,2.26,Donovan Solano,8623,456781,-208.89999999999998,False
Spencer Torkelson,DET,210.0,2.83,Spencer Torkelson,27465,679529,-209.89999999999998,False
Kristian Campbell,BOS,210.0,3.09,Kristian Campbell,sa3023011,692225,-209.89999999999998,False
Christian Moore,LAA,209.0,2.88,Christian Moore,sa3025168,695681,-210.89999999999998,False
Tyrone Taylor,NYM,208.0,2.54,Tyrone Taylor,13675,621438,-211.89999999999998,False
Mitch Garver,SEA,208.0,2.65,Mitch Garver,15161,641598,-211.89999999999998,False
Miguel Andujar,ATH,206.0,2.68,Miguel Andujar,15878,609280,-213.89999999999998,False
Griffin Conine,MIA,203.0,2.44,Griffin Conine,21626,665052,-216.89999999999998,False
Matt Mervis,MIA,202.0,2.38,Matt Mervis,27845,670223,-217.89999999999998,False
Ramón Urías,BAL,201.0,2.54,Ramon Urias,18795,602104,-218.89999999999998,False
Nick Fortes,MIA,200.0,1.99,Nick Fortes,21538,663743,-219.89999999999998,False
Randal Grichuk,ARI,198.0,2.76,Randal Grichuk,10243,545341,-221.89999999999998,False
Mitch Haniger,SEA,198.0,2.45,Mitch Haniger,14274,571745,-221.89999999999998,False
