Name,Team,PTS,PTS/G,NameASCII,FangraphsId,MLBAMID,VORP,isRP
Sean Reynolds,SDP,87.16,2.51,Sean Reynolds,22253,669308,-251.23800000000003,True
Walter Pennington,TEX,87.13,2.72,Walter Pennington,27624,679156,-251.26800000000003,True
Yosver Zulueta,CIN,86.87,2.48,Yosver Zulueta,27765,691172,-251.52800000000002,True
Jake Bloss,TOR,86.72,4.85,Jake Bloss,33168,814005,-251.67800000000003,True
Trevor Rogers,BAL,86.71,4.76,Trevor Rogers,22286,669432,-251.68800000000005,True
Carlos Hernández,KCR,86.68,2.27,Carlos Hernandez,22713,672578,-251.71800000000002,True
Keider Montero,DET,86.66,5.25,Keider Montero,22630,672456,-251.73800000000003,True
Jonathan Loáisiga,NYY,86.54,2.82,Jonathan Loaisiga,19753,642528,-251.858,True
Quinn Priester,BOS,86.47,3.68,Quinn Priester,25977,682990,-251.92800000000003,True
Hunter Strickland,TEX,86.34,2.43,Hunter Strickland,7836,519326,-252.05800000000002,True
Bryce Jarvis,ARI,86.24,2.25,Bryce Jarvis,27477,686826,-252.15800000000002,True
Keaton Winn,SFG,86.0,3.84,Keaton Winn,23499,676775,-252.39800000000002,True
Ronny Henriquez,MIA,85.57,2.38,Ronny Henriquez,24094,678692,-252.82800000000003,True
Lucas Gilbreath,COL,85.45,1.97,Lucas Gilbreath,21290,656458,-252.94800000000004,True
Enyel De Los Santos,ATL,85.22,2.48,Enyel De Los Santos,18403,660853,-253.17800000000003,True
Mike Clevinger,CHW,84.41,3.73,Mike Clevinger,12808,605182,-253.98800000000003,True
Sawyer Gipson-Long,DET,84.11,3.84,Sawyer Gipson-Long,26048,687830,-254.288,True
Eduardo Salazar,WSN,83.97,2.17,Eduardo Salazar,23135,674285,-254.42800000000003,True
Carlos Vargas,SEA,83.63,2.24,Carlos Vargas,22915,672841,-254.76800000000003,True
Robert Stephenson,LAA,82.92,2.81,Robert Stephenson,13594,596112,-255.478,True
Mason Englert,TBR,82.12,2.78,Mason Englert,22288,669438,-256.278,True
George Soriano,MIA,81.93,2.64,George Soriano,21863,666277,-256.468,True
Jimmy Herget,COL,81.71,2.51,Jimmy Herget,17556,623474,-256.68800000000005,True
Zach Pop,TOR,81.42,2.04,Zach Pop,20185,647315,-256.978,True
Garrett McDaniels,LAA,81.19,2.15,Garrett McDaniels,sa3020619,680729,-257.208,True
Lou Trivino,SFG,81.08,2.48,Lou Trivino,15043,642152,-257.31800000000004,True
Jacob Misiorowski,MIL,80.68,2.77,Jacob Misiorowski,sa3020644,694819,-257.718,True
Tyler Zuber,NYM,80.19,2.42,Tyler Zuber,20379,676604,-258.208,True
Brenan Hanifee,DET,80.09,2.58,Brenan Hanifee,22304,669724,-258.308,True
Ryan Gusto,HOU,79.51,3.99,Ryan Gusto,sa3011818,687473,-258.88800000000003,True
Connor Thomas,MIL,79.42,2.35,Connor Thomas,sa3010784,671162,-258.978,True
Braxton Ashcraft,PIT,79.33,3.42,Braxton Ashcraft,sa3008470,677952,-259.06800000000004,True
Steven Wilson,CHW,79.32,2.47,Steven Wilson,20353,621051,-259.07800000000003,True
Ron Marinaccio,SDP,79.29,2.67,Ron Marinaccio,23488,676760,-259.108,True
Joe Kelly,,78.77,2.65,Joe Kelly,9761,523260,-259.62800000000004,True
Chris Roycroft,STL,78.45,2.58,Chris Roycroft,31261,688297,-259.94800000000004,True
Matt Moore,BOS,78.01,2.64,Matt Moore,1890,519043,-260.38800000000003,True
Domingo Gonzalez,ATL,77.73,2.62,Domingo Gonzalez,sa3007495,682445,-260.668,True
Zack Kelly,BOS,77.72,2.8,Zack Kelly,20349,677161,-260.678,True
Daniel Robert,TEX,77.36,2.74,Daniel Robert,21229,642016,-261.038,True
Daniel Palencia,CHC,77.07,3.2,Daniel Palencia,27914,694037,-261.32800000000003,True
Génesis Cabrera,NYM,77.02,2.26,Genesis Cabrera,17490,650893,-261.37800000000004,True
Tyler Gilbert,CHW,76.95,2.39,Tyler Gilbert,17964,656457,-261.44800000000004,True
Jairo Iriarte,CHW,76.78,3.54,Jairo Iriarte,26907,683568,-261.61800000000005,True
Colin Selby,BAL,76.36,2.64,Colin Selby,24986,681882,-262.038,True
Giovanny Gallegos,LAD,75.92,2.73,Giovanny Gallegos,14986,606149,-262.478,True
Nick Robertson,TOR,75.3,2.45,Nick Robertson,26226,687798,-263.098,True
Alek Jacob,SDP,75.25,2.74,Alek Jacob,29628,689690,-263.148,True
Logan VanWey,HOU,75.06,2.39,Logan VanWey,sa3019956,701121,-263.338,True
Jake Diekman,ATL,75.01,2.46,Jake Diekman,5003,518617,-263.38800000000003,True
Trevor Stephan,CLE,74.51,2.89,Trevor Stephan,19932,663986,-263.88800000000003,True
Justin Wrobleski,LAD,74.28,3.22,Justin Wrobleski,31204,680736,-264.11800000000005,True
Anthony Maldonado,ATH,73.52,2.8,Anthony Maldonado,26034,687424,-264.87800000000004,True
Mike Vasil,TBR,73.46,2.48,Mike Vasil,sa3017915,678024,-264.93800000000005,True
James Karinchak,CHW,73.42,2.91,James Karinchak,20151,675916,-264.978,True
Dauri Moreta,PIT,73.14,2.7,Dauri Moreta,21101,664294,-265.25800000000004,True
Eduard Bazardo,SEA,72.22,2.99,Eduard Bazardo,20997,660825,-266.178,True
Miguel Castro,HOU,71.56,2.63,Miguel Castro,15684,612434,-266.838,True
Luis Contreras,HOU,71.26,2.64,Luis Contreras,25839,664351,-267.13800000000003,True
Kyle Nelson,ARI,71.24,2.54,Kyle Nelson,20515,669459,-267.158,True
Jaden Hill,COL,71.18,2.28,Jaden Hill,30250,677955,-267.218,True
Shawn Dubin,HOU,71.17,2.74,Shawn Dubin,24977,681869,-267.228,True
Yoendrys Gómez,NYY,70.67,3.23,Yoendrys Gomez,22872,672782,-267.728,True
Tyler Phillips,PHI,70.48,3.14,Tyler Phillips,20629,663969,-267.918,True
Steven Cruz,KCR,70.03,2.45,Steven Cruz,23165,674444,-268.36800000000005,True
Nick Anderson,STL,69.85,2.91,Nick Anderson,18337,623433,-268.548,True
Cooper Criswell,BOS,69.83,3.76,Cooper Criswell,24975,681867,-268.56800000000004,True
Prelander Berroa,CHW,69.74,3.64,Prelander Berroa,22932,672860,-268.658,True
Luis Guerrero,BOS,69.52,2.68,Luis Guerrero,31184,692285,-268.87800000000004,True
Bennett Sousa,HOU,69.22,2.54,Bennett Sousa,21345,656986,-269.178,True
Dillon Tate,TOR,68.96,2.29,Dillon Tate,17796,622253,-269.43800000000005,True
Nic Enright,CLE,68.95,2.6,Nic Enright,sa3010299,663671,-269.44800000000004,True
Mason Thompson,WSN,68.86,2.4,Mason Thompson,21850,666168,-269.538,True
Gordon Graceffo,STL,68.74,3.44,Gordon Graceffo,29519,700669,-269.658,True
Trevor McDonald,SFG,68.54,2.74,Trevor McDonald,26448,686790,-269.858,True
Scott Blewett,MIN,68.11,3.11,Scott Blewett,16427,656240,-270.288,True
Ben Casparius,LAD,68.07,3.59,Ben Casparius,30085,676508,-270.32800000000003,True
Connor Gillispie,MIA,67.89,2.82,Connor Gillispie,26171,687362,-270.50800000000004,True
John McMillon,PHI,67.82,3.05,John McMillon,27942,669111,-270.57800000000003,True
Andrew Misiaszek,CLE,67.7,2.63,Andrew Misiaszek,sa3010118,667280,-270.69800000000004,True
Brandon Young,BAL,67.37,3.0,Brandon Young,sa3014926,687064,-271.028,True
Scott Effross,NYY,67.32,2.79,Scott Effross,18384,664123,-271.07800000000003,True
Eiberson Castellano,MIN,67.25,2.67,Eiberson Castellano,sa3015414,682769,-271.148,True
Richard Lovelady,TOR,66.95,2.85,Richard Lovelady,19337,663992,-271.44800000000004,True
Michael Petersen,LAA,66.21,2.61,Michael Petersen,20827,656848,-272.18800000000005,True
Michael Mercado,PHI,65.53,2.94,Michael Mercado,23223,675650,-272.86800000000005,True
Blake Walston,ARI,64.78,3.12,Blake Walston,26270,686796,-273.61800000000005,True
Jesse Chavez,TEX,64.63,2.52,Jesse Chavez,5448,445926,-273.76800000000003,True
Carson Whisenhunt,SFG,64.22,4.58,Carson Whisenhunt,sa3020529,687931,-274.178,True
Kevin Herget,NYM,63.5,2.64,Kevin Herget,15369,643361,-274.898,True
Zach Agnos,COL,63.42,2.64,Zach Agnos,sa3020560,688642,-274.978,True
Max Kranick,NYM,63.01,2.29,Max Kranick,22175,668820,-275.38800000000003,True
Jordan Weems,ATL,62.85,2.26,Jordan Weems,13190,607179,-275.548,True
Sean Reid-Foley,NYM,62.55,2.58,Sean Reid-Foley,17034,656887,-275.848,True
Anthony Misiewicz,MIN,62.42,2.49,Anthony Misiewicz,18152,664948,-275.978,True
Bradley Blalock,COL,61.89,3.72,Bradley Blalock,26419,687134,-276.50800000000004,True
Mike Baumann,,61.54,2.84,Mike Baumann,20206,657508,-276.858,True
Jacob Barnes,TOR,61.5,2.52,Jacob Barnes,12323,606930,-276.898,True
Josh Simpson,MIA,61.37,2.54,Josh Simpson,sa1053035,681006,-277.028,True
Clayton Beeter,NYY,60.81,2.92,Clayton Beeter,27494,690925,-277.588,True
Tommy Henry,ARI,60.81,2.94,Tommy Henry,26285,674072,-277.588,True
Sam Bachman,LAA,60.56,2.77,Sam Bachman,29754,696147,-277.838,True
Tom Cosgrove,SDP,60.56,2.04,Tom Cosgrove,23443,676680,-277.838,True
Luarbert Arias,MIA,60.1,2.37,Luarbert Arias,sa3007599,678215,-278.298,True
Josh Staumont,CIN,60.06,2.92,Josh Staumont,18335,622251,-278.338,True
Noah Murdock,ATH,60.02,2.04,Noah Murdock,sa919012,668716,-278.37800000000004,True
Luis González,BAL,59.83,2.27,Luis Gonzalez,sa550522,593574,-278.56800000000004,True
Grant Anderson,MIL,59.54,2.56,Grant Anderson,20546,681982,-278.858,True
Cody Poteet,CHC,59.49,3.56,Cody Poteet,18769,547001,-278.908,True
Tanner Gordon,COL,58.88,2.53,Tanner Gordon,27669,685299,-279.51800000000003,True
Jacob Lopez,ATH,58.6,3.07,Jacob Lopez,25098,682052,-279.798,True
Zach Maxwell,CIN,58.53,2.54,Zach Maxwell,sa3020255,687209,-279.86800000000005,True
Ethan Roberts,CHC,58.51,2.35,Ethan Roberts,24930,681799,-279.88800000000003,True
Jackson Rutledge,WSN,58.38,2.96,Jackson Rutledge,26215,671131,-280.01800000000003,True
Will Smith,,58.25,2.38,Will Smith,8048,519293,-280.148,True
Jack Dreyer,LAD,58.12,2.51,Jack Dreyer,sa3018789,676263,-280.278,True
Trevor Richards,CHC,57.98,2.6,Trevor Richards,19309,670950,-280.418,True
Cole Sulser,TBR,57.91,2.8,Cole Sulser,15256,642121,-280.48800000000006,True
Roansy Contreras,BAL,57.71,2.75,Roansy Contreras,22810,672710,-280.68800000000005,True
Chad Patrick,MIL,56.59,2.37,Chad Patrick,sa3017933,694477,-281.808,True
Josh Walker,TOR,56.42,2.44,Josh Walker,23617,677020,-281.978,True
Hunter Stratton,PIT,56.0,2.68,Hunter Stratton,23455,676702,-282.398,True
Brusdar Graterol,LAD,55.69,2.83,Brusdar Graterol,20367,660813,-282.708,True
Tyler Matzek,NYY,55.26,2.14,Tyler Matzek,10058,554431,-283.13800000000003,True
Gerson Garabito,TEX,54.45,2.37,Gerson Garabito,19835,642520,-283.94800000000004,True
Steven Okert,HOU,54.42,2.46,Steven Okert,13580,595345,-283.978,True
Cody Bolton,SEA,54.41,2.22,Cody Bolton,23265,675989,-283.98800000000006,True
Ross Stripling,KCR,54.41,3.78,Ross Stripling,13273,548389,-283.98800000000006,True
Mason Fluharty,TOR,54.4,2.42,Mason Fluharty,sa3020261,689254,-283.99800000000005,True
Noah Cameron,KCR,54.39,3.07,Noah Cameron,sa3018097,702070,-284.00800000000004,True
Franco Aleman,CLE,54.36,2.79,Franco Aleman,sa3018178,680916,-284.038,True
Evan Justice,COL,54.29,1.74,Evan Justice,30008,687145,-284.108,True
Peter Strzelecki,PIT,54.23,2.3,Peter Strzelecki,21367,657265,-284.168,True
Evan Sisk,KCR,53.86,2.58,Evan Sisk,sa3007612,681895,-284.538,True
Orlando Ribalta,WSN,53.75,2.02,Orlando Ribalta,26247,687377,-284.648,True
Brooks Raley,,53.16,2.72,Brooks Raley,10061,548384,-285.23800000000006,True
Jonathan Bowlan,KCR,53.15,2.55,Jonathan Bowlan,24607,680742,-285.24800000000005,True
Ty Madden,DET,53.11,2.84,Ty Madden,30140,680744,-285.288,True
Yunior Marte,,52.27,2.23,Yunior Marte,14416,628708,-286.12800000000004,True
Diego Castillo,COL,51.89,2.16,Diego Castillo,17496,650895,-286.50800000000004,True
J.P. France,HOU,51.88,3.98,J.P. France,21212,641585,-286.51800000000003,True
JT Chargois,TEX,51.87,2.44,JT Chargois,13767,608638,-286.528,True
Shintaro Fujinami,SEA,51.83,2.7,Shintaro Fujinami,31839,660261,-286.56800000000004,True
John Rooney,MIA,51.68,2.07,John Rooney,sa3008417,680701,-286.718,True
Austin Adams,BOS,51.66,2.17,Austin Adams,13801,613534,-286.73800000000006,True
Cristian Javier,HOU,51.42,3.62,Cristian Javier,17606,664299,-286.978,True
Joe Jiménez,ATL,51.37,2.66,Joe Jimenez,15761,641729,-287.028,True
Brent Honeywell,,51.02,3.11,Brent Honeywell,16466,641703,-287.37800000000004,True
Scott McGough,ARI,51.01,2.66,Scott McGough,12056,543518,-287.38800000000003,True
Devin Sweet,PHI,50.78,2.79,Devin Sweet,25348,682967,-287.61800000000005,True
Tyler Stuart,WSN,50.62,2.56,Tyler Stuart,sa3020264,701603,-287.778,True
Deivi García,MIL,50.22,3.15,Deivi Garcia,20276,665620,-288.178,True
Carson Ragsdale,SFG,49.48,2.8,Carson Ragsdale,sa3014922,685068,-288.918,True
Eric Orze,TBR,49.24,2.39,Eric Orze,27626,679358,-289.158,True
Yohan Ramírez,PIT,48.89,2.26,Yohan Ramirez,19444,670990,-289.50800000000004,True
Ryan Loutos,STL,48.28,2.14,Ryan Loutos,29521,702795,-290.11800000000005,True
Connor Phillips,CIN,48.28,2.51,Connor Phillips,27649,683175,-290.11800000000005,True
Amos Willingham,ATL,48.21,2.36,Amos Willingham,26128,686294,-290.18800000000005,True
Blas Castano,SEA,48.19,2.87,Blas Castano,sa3006617,680604,-290.208,True
Luis Curvelo,TEX,47.9,2.44,Luis Curvelo,sa3008169,681168,-290.49800000000005,True
Sem Robberse,STL,47.84,2.69,Sem Robberse,sa3011735,691828,-290.558,True
Will Klein,SEA,47.47,2.16,Will Klein,27787,694361,-290.928,True
Carson Fulmer,PIT,47.34,3.41,Carson Fulmer,18311,608334,-291.058,True
Carson Seymour,SFG,47.27,2.47,Carson Seymour,sa3017868,693313,-291.12800000000004,True
Victor González,LAA,47.21,2.35,Victor Gonzalez,16408,624647,-291.18800000000005,True
Roddery Muñoz,STL,47.19,3.09,Roddery Munoz,25311,682610,-291.208,True
Caleb Kilian,CHC,46.99,3.27,Caleb Kilian,26213,668873,-291.408,True
José Cisnero,,46.97,2.51,Jose Cisnero,6399,542585,-291.428,True
Colten Brewer,NYY,46.94,2.46,Colten Brewer,12997,605155,-291.458,True
Jack Neely,CHC,46.71,2.29,Jack Neely,30106,680891,-291.68800000000005,True
Michael Kelly,ATH,46.37,2.59,Michael Kelly,12791,547184,-292.028,True
Tyler Wells,BAL,46.3,3.29,Tyler Wells,20000,669330,-292.098,True
Jackson Kowar,SEA,46.23,2.32,Jackson Kowar,21549,663804,-292.168,True
Edgardo Henriquez,LAD,46.0,2.68,Edgardo Henriquez,26944,683618,-292.398,True
Jeff Criswell,COL,45.53,3.03,Jeff Criswell,27608,676105,-292.86800000000005,True
Matt Barnes,,45.47,2.03,Matt Barnes,12863,598264,-292.928,True
Joely Rodríguez,BOS,45.39,2.23,Joely Rodriguez,11487,570257,-293.00800000000004,True
Penn Murfee,CHW,44.96,2.58,Penn Murfee,25174,682171,-293.43800000000005,True
Joe Rock,TBR,44.76,3.17,Joe Rock,sa3017755,697812,-293.63800000000003,True
Brandon Eisert,CHW,44.59,2.4,Brandon Eisert,27668,685126,-293.808,True
Ryan Webb,CLE,44.36,2.39,Ryan Webb,sa3018280,669067,-294.038,True
Adam Cimber,,44.3,2.35,Adam Cimber,15288,643256,-294.098,True
Omar Cruz,SDP,43.53,2.69,Omar Cruz,sa3006971,678316,-294.86800000000005,True
Connor Brogdon,LAA,43.5,2.49,Connor Brogdon,21205,641401,-294.898,True
Kade Strowd,BAL,43.4,2.37,Kade Strowd,sa3011418,669704,-294.99800000000005,True
Jefry Yan,COL,43.37,2.02,Jefry Yan,sa828460,642376,-295.028,True
Xzavion Curry,MIA,43.33,2.56,Xzavion Curry,25595,675540,-295.06800000000004,True
Jonathan Hernández,TBR,43.16,2.49,Jonathan Hernandez,17464,642546,-295.23800000000006,True
Enoli Paredes,ATL,42.62,2.58,Enoli Paredes,20447,660600,-295.778,True
Chris Flexen,CHC,42.41,2.66,Chris Flexen,13896,623167,-295.98800000000006,True
Dylan Dodd,ATL,42.15,2.47,Dylan Dodd,29928,689266,-296.24800000000005,True
Luis García,LAD,42.14,2.6,Luis Garcia,6984,472610,-296.25800000000004,True
Luis Frías,CLE,42.05,2.29,Luis Frias,21997,666818,-296.348,True
Sam Hentges,CLE,42.01,2.64,Sam Hentges,18548,656529,-296.38800000000003,True
Nate Lavender,TBR,41.46,2.51,Nate Lavender,sa3017917,681320,-296.93800000000005,True
Bailey Horn,STL,41.0,2.44,Bailey Horn,27753,690544,-297.398,True
Francis Pena,SDP,40.59,2.46,Francis Pena,sa3019374,800212,-297.808,True
Easton Lucas,TOR,40.5,2.43,Easton Lucas,26058,687922,-297.898,True
Victor Mederos,LAA,40.32,2.09,Victor Mederos,31533,682989,-298.07800000000003,True
Chase Lee,DET,40.19,2.46,Chase Lee,sa3016946,695445,-298.208,True
Ryan Borucki,PIT,40.1,2.51,Ryan Borucki,16350,621366,-298.298,True
Anderson Pilar,ATL,40.1,2.33,Anderson Pilar,sa917899,666768,-298.298,True
Davis Daniel,ATL,40.01,3.18,Davis Daniel,27582,669721,-298.38800000000003,True
Ethan Small,SFG,39.11,2.9,Ethan Small,26364,663629,-299.288,True
Chris Devenski,NYM,38.67,2.57,Chris Devenski,12763,606965,-299.728,True
Tyler Mattison,DET,38.29,2.24,Tyler Mattison,sa3018117,694331,-300.108,True
Alan Rangel,PHI,38.27,2.49,Alan Rangel,sa877578,660604,-300.12800000000004,True
Bryan Shaw,CIN,38.14,2.08,Bryan Shaw,8110,543766,-300.25800000000004,True
Ryan Miller,DET,38.11,2.4,Ryan Miller,22187,668943,-300.288,True
Grant Wolfram,MIL,37.26,2.42,Grant Wolfram,sa3008313,664991,-301.13800000000003,True
Phil Bickford,CHC,37.22,2.63,Phil Bickford,18519,641360,-301.178,True
Kyle Tyler,PHI,36.77,2.65,Kyle Tyler,22092,667725,-301.62800000000004,True
Brett de Geus,MIA,36.48,1.63,Brett de Geus,23592,676969,-301.918,True
Yerry De Los Santos,NYY,36.02,2.13,Yerry De Los Santos,21420,660787,-302.37800000000004,True
Guillo Zuñiga,PHI,35.68,2.15,Guillo Zuniga,19588,670871,-302.718,True
Kyle Amendt,ARI,35.63,2.89,Kyle Amendt,sa3022904,694900,-302.76800000000003,True
Janson Junk,MIA,35.56,2.47,Janson Junk,23301,676083,-302.838,True
Brandyn Garcia,SEA,35.47,2.24,Brandyn Garcia,sa3022951,805299,-302.928,True
Matt Gage,DET,35.4,2.93,Matt Gage,17381,657424,-302.99800000000005,True
Daniel Bard,,35.31,2.41,Daniel Bard,7115,453268,-303.088,True
Mick Abel,PHI,35.24,2.35,Mick Abel,sa3014534,690953,-303.158,True
Vince Velasquez,CLE,35.1,2.81,Vince Velasquez,11189,592826,-303.298,True
Brad Lord,WSN,35.01,2.26,Brad Lord,sa3020812,695418,-303.38800000000003,True
Dany Jiménez,ATL,34.85,3.16,Dany Jimenez,21170,666204,-303.548,True
Luinder Avila,KCR,34.76,2.15,Luinder Avila,sa3006507,679883,-303.63800000000003,True
Jay Jackson,,34.3,2.47,Jay Jackson,7432,543351,-304.098,True
Thaddeus Ward,BAL,34.0,2.42,Thaddeus Ward,21513,663658,-304.398,True
Rolddy Munoz,ATL,33.95,2.38,Rolddy Munoz,sa3011575,691548,-304.44800000000004,True
Seth Johnson,PHI,33.54,2.3,Seth Johnson,26020,686751,-304.858,True
Gabriel Hughes,COL,33.42,2.1,Gabriel Hughes,sa3020661,687312,-304.978,True
Anthony Molina,COL,33.26,2.09,Anthony Molina,26952,683627,-305.13800000000003,True
Dylan Covey,ATL,33.22,2.7,Dylan Covey,14825,592229,-305.178,True
Elvis Alvarado,ATH,33.11,2.41,Elvis Alvarado,sa919291,665660,-305.288,True
Joey Lucchesi,SFG,32.8,2.51,Joey Lucchesi,19320,664192,-305.598,True
Michael Flynn,TBR,32.69,2.83,Michael Flynn,sa3006803,663901,-305.708,True
John Curtiss,ARI,32.46,1.96,John Curtiss,16128,595928,-305.93800000000005,True
Justin King,MIA,32.21,2.41,Justin King,sa3018278,659381,-306.18800000000005,True
Chase Shugart,PIT,31.99,2.2,Chase Shugart,21544,663767,-306.408,True
Dominic Leone,,31.51,2.15,Dominic Leone,13763,608678,-306.88800000000003,True
Huascar Ynoa,MIN,31.42,2.61,Huascar Ynoa,20468,660623,-306.978,True
Cory Lewis,MIN,31.42,2.55,Cory Lewis,sa3020702,675375,-306.978,True
Justin Hagenman,NYM,31.15,2.58,Justin Hagenman,sa3008022,663795,-307.24800000000005,True
Vinny Nittoli,MIL,30.73,2.69,Vinny Nittoli,16754,657697,-307.668,True
Amir Garrett,TOR,30.71,2.29,Amir Garrett,14375,607237,-307.68800000000005,True
Dan Altavilla,CHW,30.41,1.89,Dan Altavilla,16507,656186,-307.988,True
Keynan Middleton,,30.38,2.7,Keynan Middleton,15264,641871,-308.01800000000003,True
Dietrich Enns,DET,30.32,2.34,Dietrich Enns,13932,608650,-308.07800000000003,True
José Ureña,NYM,30.26,2.66,Jose Urena,11589,570632,-308.13800000000003,True
Zach Penrod,BOS,30.23,2.19,Zach Penrod,25368,683068,-308.168,True
Matt Bowman,BAL,30.05,2.45,Matt Bowman,13528,621199,-308.348,True
Tyler Owens,DET,29.88,2.24,Tyler Owens,sa3011201,687074,-308.51800000000003,True
Angel Bastardo,TOR,29.88,2.47,Angel Bastardo,sa3009716,682785,-308.51800000000003,True
Burch Smith,PIT,29.85,2.54,Burch Smith,12784,572143,-308.548,True
Matt Sauer,LAD,28.59,1.8,Matt Sauer,22284,669422,-309.80800000000005,True
Luis Patiño,SDP,28.36,2.77,Luis Patino,22815,672715,-310.038,True
Dakota Hudson,LAA,28.29,2.35,Dakota Hudson,19206,641712,-310.108,True
Ian Gibaut,CIN,28.04,2.68,Ian Gibaut,17871,664139,-310.358,True
Dylan Coleman,BAL,27.92,1.94,Dylan Coleman,22276,669395,-310.478,True
Joe La Sorsa,CIN,27.7,2.41,Joe La Sorsa,25481,686747,-310.69800000000004,True
Michael Darrell-Hicks,LAA,27.53,2.36,Michael Darrell-Hicks,sa3020438,690382,-310.86800000000005,True
Drew Pomeranz,SEA,27.44,2.2,Drew Pomeranz,11426,519141,-310.958,True
Trevor Gott,SEA,27.0,2.35,Trevor Gott,15046,641627,-311.398,True
Eric Cerantola,KCR,26.99,1.99,Eric Cerantola,sa3017914,672021,-311.408,True
Alex Young,CIN,26.87,2.15,Alex Young,18333,622065,-311.528,True
Andrew Saalfrank,ARI,26.21,2.45,Andrew Saalfrank,26203,685314,-312.18800000000005,True
J.B. Wendelken,SDP,26.04,2.16,J.B. Wendelken,14506,605525,-312.358,True
Hayden Harris,ATL,26.01,2.51,Hayden Harris,sa3019913,802686,-312.38800000000003,True
Jake Woodford,COL,25.87,2.31,Jake Woodford,18674,663765,-312.528,True
Albert Abreu,CIN,25.47,2.19,Albert Abreu,17485,656061,-312.928,True
Griff McGarry,PHI,25.01,2.14,Griff McGarry,sa3017130,676046,-313.38800000000003,True
Jake Eder,CHW,24.7,2.4,Jake Eder,27590,671109,-313.69800000000004,True
Taylor Clarke,KCR,24.66,2.36,Taylor Clarke,17611,664199,-313.738,True
Cole Waites,SFG,24.01,2.27,Cole Waites,25665,686972,-314.38800000000003,True
Geoff Hartlieb,NYY,23.52,2.28,Geoff Hartlieb,19558,664129,-314.87800000000004,True
Owen White,CHW,22.68,1.77,Owen White,22273,669391,-315.718,True
Jose Cuas,PHI,22.07,2.2,Jose Cuas,17701,621016,-316.32800000000003,True
Juan Nuñez,SDP,21.8,1.64,Juan Nunez,sa3015464,693725,-316.598,True
Parker Mushinski,CLE,19.52,1.91,Parker Mushinski,21324,656786,-318.87800000000004,True
