NameASCII,Pro,PosStr,Age,TJ,Yrs,Cost,Espn_dif,Espn_proj,PTS,PTS/G,VORP,Projected $
Omar Cruz,SDP,RP,,FA,,,43.53,0.0,43.53,2.69,-294.86800000000005,0.0
Connor Brogdon,LAA,RP,,FA,,,-33.5,77.0,43.5,2.49,-294.898,0.0
Xzavion Curry,MIA,SP/RP,,FA,,,-28.67,72.0,43.33,2.56,-295.06800000000004,0.0
Jonathan Hernandez,TBR,RP,,FA,,,43.16,0.0,43.16,2.49,-295.23800000000006,0.0
Enoli Paredes,ATL,RP,,FA,,,-26.38,69.0,42.62,2.58,-295.778,0.0
Luis Garcia,LAD,RP,38.0,Country Strong,3,$1.00,-99.86,142.0,42.14,2.6,-296.25800000000004,0.0
Luis Garcia,LAD,RP,38.0,Country Strong,3,$1.00,-99.86,142.0,42.14,2.6,-296.25800000000004,0.0
Luis Frias,CLE,RP,,FA,,,-5.95,48.0,42.05,2.29,-296.348,0.0
Sam Hentges,CLE,RP,,FA,,,-35.99,78.0,42.01,2.64,-296.38800000000003,0.0
Bailey Horn,STL,RP,,FA,,,-7.0,48.0,41.0,2.44,-297.398,0.0
Easton Lucas,TOR,RP,,FA,,,-12.5,53.0,40.5,2.43,-297.898,0.0
Anderson Pilar,ATL,RP,,FA,,,-35.9,76.0,40.1,2.33,-298.298,0.0
Ryan Borucki,PIT,RP,,FA,,,-44.9,85.0,40.1,2.51,-298.298,0.0
Ethan Small,SFG,RP,,FA,,,-16.89,56.0,39.11,2.9,-299.288,0.0
Chris Devenski,NYM,RP,34.0,FA,1,$1.00,-42.33,81.0,38.67,2.57,-299.728,0.0
Alan Rangel,PHI,SP/RP,,FA,,,-30.73,69.0,38.27,2.49,-300.12800000000004,0.0
Bryan Shaw,CIN,RP,,FA,,,-33.86,72.0,38.14,2.08,-300.25800000000004,0.0
Ryan Miller,DET,RP,,FA,,,-14.89,53.0,38.11,2.4,-300.288,0.0
Grant Wolfram,MIL,RP,,FA,,,-73.74,111.0,37.26,2.42,-301.13800000000003,0.0
Phil Bickford,CHC,RP,,FA,,,-58.78,96.0,37.22,2.63,-301.178,0.0
Brett de Geus,MIA,RP,,FA,,,-15.52,52.0,36.48,1.63,-301.918,0.0
Yerry De Los Santos,NYY,RP,,FA,,,-27.98,64.0,36.02,2.13,-302.37800000000004,0.0
Guillo Zuniga,PHI,RP,,FA,,,-3.32,39.0,35.68,2.15,-302.718,0.0
Janson Junk,MIA,SP/RP,,FA,,,35.56,0.0,35.56,2.47,-302.838,0.0
Matt Gage,DET,RP,,FA,,,-19.6,55.0,35.4,2.93,-302.99800000000005,0.0
Daniel Bard,,RP,,FA,,,-12.69,48.0,35.31,2.41,-303.088,0.0
Dany Jimenez,ATL,RP,,FA,,,-26.15,61.0,34.85,3.16,-303.548,0.0
